ID,prediksi,probabilitas,cluster,cluster_label,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
10235,yes,55.13%,0,Prospek Baru,39,self-employed,married,tertiary,no,0,no,no,unknown,11,jun,904,4,-1,0,unknown,no
10236,no,42.07%,0,Prospek Baru,38,services,divorced,primary,no,188,no,no,unknown,11,jun,597,10,-1,0,unknown,no
10237,no,2.95%,0,Prospek Baru,49,admin.,married,secondary,no,1788,yes,no,unknown,11,jun,274,2,-1,0,unknown,no
10238,no,0.65%,0,Prospek Baru,38,blue-collar,single,tertiary,no,797,yes,no,unknown,11,jun,124,4,-1,0,unknown,no
10239,no,4.38%,0,Prospek Baru,32,technician,divorced,secondary,no,2,yes,no,unknown,11,jun,354,17,-1,0,unknown,no
10240,no,1.91%,0,Prospek Baru,57,admin.,married,secondary,no,5888,no,yes,unknown,11,jun,288,3,-1,0,unknown,no
10241,no,1.30%,0,Prospek Baru,41,self-employed,single,tertiary,no,1755,no,no,unknown,11,jun,152,10,-1,0,unknown,no
10242,yes,74.88%,0,Prospek Baru,40,admin.,single,tertiary,no,1248,no,no,unknown,11,jun,1290,2,-1,0,unknown,yes
10243,no,0.12%,0,Prospek Baru,44,blue-collar,married,primary,no,321,yes,no,unknown,11,jun,59,8,-1,0,unknown,no
10244,no,0.75%,0,Prospek Baru,45,services,married,secondary,no,1306,no,no,unknown,11,jun,125,3,-1,0,unknown,no
10245,no,1.40%,0,Prospek Baru,52,admin.,married,secondary,no,4233,no,no,unknown,11,jun,158,2,-1,0,unknown,no
10246,no,1.53%,0,Prospek Baru,36,blue-collar,married,secondary,no,1704,no,no,unknown,11,jun,179,4,-1,0,unknown,no
10247,no,0.10%,0,Prospek Baru,52,unemployed,married,unknown,no,83,yes,no,unknown,11,jun,26,29,-1,0,unknown,no
10248,no,2.59%,0,Prospek Baru,36,admin.,divorced,secondary,no,0,no,no,unknown,11,jun,203,3,-1,0,unknown,no
10249,no,0.58%,0,Prospek Baru,58,housemaid,married,tertiary,no,497,no,no,unknown,11,jun,138,5,-1,0,unknown,no
10250,no,0.40%,0,Prospek Baru,43,technician,single,secondary,no,59,yes,no,unknown,11,jun,107,19,-1,0,unknown,no
10251,no,7.84%,0,Prospek Baru,48,blue-collar,married,primary,no,3304,no,no,unknown,11,jun,409,3,-1,0,unknown,no
10252,no,0.55%,0,Prospek Baru,60,management,married,tertiary,no,79,no,no,unknown,11,jun,48,3,-1,0,unknown,no
10253,no,0.45%,0,Prospek Baru,29,admin.,single,secondary,no,171,yes,no,unknown,11,jun,83,10,-1,0,unknown,no
10254,no,1.43%,0,Prospek Baru,37,blue-collar,married,primary,yes,-142,no,no,unknown,11,jun,199,3,-1,0,unknown,no
10255,no,0.74%,0,Prospek Baru,40,services,single,secondary,no,316,no,no,unknown,11,jun,122,5,-1,0,unknown,no
10256,no,1.13%,0,Prospek Baru,31,blue-collar,married,secondary,no,30,yes,no,unknown,11,jun,172,14,-1,0,unknown,no
10257,no,0.16%,0,Prospek Baru,40,blue-collar,married,primary,no,5560,yes,no,unknown,11,jun,93,3,-1,0,unknown,no
10258,no,1.92%,0,Prospek Baru,36,blue-collar,married,primary,no,272,no,no,unknown,11,jun,222,2,-1,0,unknown,no
10259,no,8.34%,0,Prospek Baru,36,admin.,married,secondary,no,0,no,no,unknown,11,jun,378,4,-1,0,unknown,no
10260,no,0.15%,0,Prospek Baru,51,blue-collar,married,primary,no,2995,yes,no,unknown,11,jun,93,2,-1,0,unknown,no
10261,no,22.46%,0,Prospek Baru,55,management,married,tertiary,no,10957,no,no,unknown,11,jun,514,4,-1,0,unknown,no
10262,no,1.43%,0,Prospek Baru,44,technician,married,tertiary,no,1454,no,no,unknown,11,jun,156,2,-1,0,unknown,no
10263,no,0.41%,0,Prospek Baru,48,admin.,married,secondary,no,13551,no,no,unknown,11,jun,89,3,-1,0,unknown,no
10264,no,4.02%,0,Prospek Baru,59,retired,single,secondary,no,2432,no,no,unknown,11,jun,236,2,-1,0,unknown,no
10265,no,0.62%,0,Prospek Baru,47,management,single,tertiary,no,0,no,no,unknown,11,jun,58,3,-1,0,unknown,no
10266,yes,64.76%,0,Prospek Baru,42,blue-collar,married,primary,no,530,no,no,unknown,11,jun,850,8,-1,0,unknown,no
10267,no,0.34%,0,Prospek Baru,40,technician,married,secondary,no,240,no,no,unknown,12,jun,68,4,-1,0,unknown,no
10268,no,2.91%,0,Prospek Baru,39,blue-collar,married,unknown,no,2952,yes,no,unknown,12,jun,307,2,-1,0,unknown,no
10269,no,0.51%,0,Prospek Baru,40,blue-collar,divorced,secondary,no,181,no,no,unknown,12,jun,89,6,-1,0,unknown,no
10270,no,0.24%,0,Prospek Baru,56,technician,married,secondary,no,225,yes,no,unknown,12,jun,71,12,-1,0,unknown,no
10271,no,0.35%,0,Prospek Baru,47,management,married,unknown,no,0,no,no,unknown,12,jun,77,3,-1,0,unknown,no
10272,no,0.19%,0,Prospek Baru,34,blue-collar,married,secondary,no,352,yes,no,unknown,12,jun,52,3,-1,0,unknown,no
10273,no,1.16%,0,Prospek Baru,38,blue-collar,married,secondary,no,2342,no,no,unknown,12,jun,136,2,-1,0,unknown,no
10274,no,32.05%,0,Prospek Baru,37,unemployed,single,tertiary,no,1706,no,no,unknown,12,jun,542,3,-1,0,unknown,no
10275,no,4.66%,0,Prospek Baru,38,blue-collar,single,primary,no,1691,no,no,unknown,12,jun,265,3,-1,0,unknown,no
10276,no,0.48%,0,Prospek Baru,52,management,divorced,tertiary,no,50,yes,no,unknown,12,jun,84,3,-1,0,unknown,no
10277,no,10.55%,0,Prospek Baru,35,blue-collar,married,secondary,no,728,yes,no,unknown,12,jun,410,16,-1,0,unknown,no
10278,no,0.40%,0,Prospek Baru,31,technician,single,secondary,no,1094,yes,no,unknown,12,jun,93,8,-1,0,unknown,no
10279,yes,79.39%,0,Prospek Baru,37,management,single,tertiary,no,8828,no,no,unknown,12,jun,1010,3,-1,0,unknown,yes
10280,no,8.46%,0,Prospek Baru,53,self-employed,divorced,tertiary,no,1841,no,no,unknown,12,jun,403,5,-1,0,unknown,no
10281,no,0.54%,0,Prospek Baru,45,management,married,tertiary,no,3370,no,no,unknown,12,jun,36,3,-1,0,unknown,no
10282,no,0.78%,0,Prospek Baru,44,services,single,secondary,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
10283,no,0.32%,0,Prospek Baru,49,unknown,married,primary,no,142,no,no,unknown,12,jun,90,3,-1,0,unknown,no
10284,no,6.44%,0,Prospek Baru,37,blue-collar,married,secondary,no,1590,no,no,unknown,12,jun,305,2,-1,0,unknown,no
10285,no,1.23%,0,Prospek Baru,39,management,married,unknown,no,4800,no,no,unknown,12,jun,135,3,-1,0,unknown,no
10286,yes,50.20%,0,Prospek Baru,55,blue-collar,married,secondary,no,0,no,no,unknown,12,jun,614,2,-1,0,unknown,yes
10287,yes,67.16%,0,Prospek Baru,46,services,married,secondary,no,6913,no,no,unknown,12,jun,781,2,-1,0,unknown,no
10288,no,0.80%,0,Prospek Baru,38,technician,married,tertiary,no,0,no,no,unknown,12,jun,112,2,-1,0,unknown,no
10289,no,5.48%,0,Prospek Baru,55,admin.,married,secondary,no,3664,no,yes,unknown,12,jun,423,2,-1,0,unknown,no
10290,no,1.31%,0,Prospek Baru,39,services,married,secondary,no,257,yes,no,unknown,12,jun,171,1,-1,0,unknown,no
10291,no,0.43%,0,Prospek Baru,46,blue-collar,married,primary,no,642,no,no,unknown,12,jun,110,4,-1,0,unknown,no
10292,no,0.91%,0,Prospek Baru,53,retired,married,secondary,no,340,yes,no,unknown,12,jun,138,1,-1,0,unknown,no
10293,no,1.08%,0,Prospek Baru,40,entrepreneur,married,secondary,no,2252,no,no,unknown,12,jun,144,1,-1,0,unknown,no
10294,no,0.23%,0,Prospek Baru,37,services,married,primary,no,0,yes,yes,unknown,12,jun,137,1,-1,0,unknown,no
10295,no,0.83%,0,Prospek Baru,46,management,divorced,secondary,no,270,no,no,unknown,12,jun,125,1,-1,0,unknown,no
10296,no,2.01%,0,Prospek Baru,55,blue-collar,divorced,primary,no,215,no,no,unknown,12,jun,202,1,-1,0,unknown,no
10297,no,0.51%,0,Prospek Baru,56,blue-collar,divorced,primary,no,596,no,no,unknown,12,jun,123,1,-1,0,unknown,no
10298,no,0.29%,0,Prospek Baru,38,blue-collar,divorced,primary,no,0,no,no,unknown,12,jun,49,2,-1,0,unknown,no
10299,no,0.48%,0,Prospek Baru,49,admin.,divorced,secondary,no,1709,yes,no,unknown,12,jun,106,1,-1,0,unknown,no
10300,yes,69.18%,0,Prospek Baru,58,admin.,married,secondary,no,826,no,no,unknown,12,jun,885,1,-1,0,unknown,yes
10301,no,1.27%,0,Prospek Baru,46,management,married,secondary,no,0,no,no,unknown,12,jun,155,1,-1,0,unknown,no
10302,no,0.46%,0,Prospek Baru,41,services,married,secondary,no,4283,yes,no,unknown,12,jun,112,1,-1,0,unknown,no
10303,no,3.28%,0,Prospek Baru,40,management,married,secondary,no,2596,no,no,unknown,12,jun,236,1,-1,0,unknown,no
10304,no,4.60%,0,Prospek Baru,56,admin.,married,secondary,no,1290,no,no,unknown,12,jun,243,1,-1,0,unknown,no
10305,no,0.40%,0,Prospek Baru,45,blue-collar,married,primary,no,714,no,no,unknown,12,jun,108,1,-1,0,unknown,no
10306,yes,50.92%,0,Prospek Baru,44,retired,married,secondary,no,2692,no,no,unknown,12,jun,583,1,-1,0,unknown,no
10307,no,3.35%,0,Prospek Baru,57,retired,single,secondary,no,5305,no,no,unknown,12,jun,192,1,-1,0,unknown,no
10308,no,1.37%,0,Prospek Baru,44,blue-collar,married,secondary,no,1671,no,no,unknown,12,jun,149,1,-1,0,unknown,no
10309,no,0.34%,0,Prospek Baru,35,unemployed,divorced,secondary,no,45,no,no,unknown,12,jun,40,6,-1,0,unknown,no
10310,no,5.84%,0,Prospek Baru,52,admin.,married,secondary,no,693,no,no,unknown,12,jun,271,1,-1,0,unknown,no
10311,no,0.27%,0,Prospek Baru,53,housemaid,divorced,secondary,no,292,no,no,unknown,12,jun,92,2,-1,0,unknown,no
10312,no,0.31%,0,Prospek Baru,47,services,married,secondary,no,440,yes,no,unknown,12,jun,91,1,-1,0,unknown,no
10313,no,2.03%,0,Prospek Baru,35,blue-collar,divorced,primary,no,0,no,no,unknown,12,jun,200,1,-1,0,unknown,no
10314,no,0.36%,0,Prospek Baru,36,unemployed,married,primary,no,0,no,no,unknown,12,jun,107,1,-1,0,unknown,no
10315,no,11.96%,0,Prospek Baru,44,services,married,secondary,no,938,no,no,unknown,12,jun,406,1,-1,0,unknown,no
10316,no,0.38%,0,Prospek Baru,46,technician,married,tertiary,no,53,no,no,unknown,12,jun,12,3,-1,0,unknown,no
10317,no,0.72%,0,Prospek Baru,57,entrepreneur,married,secondary,no,5657,yes,no,unknown,12,jun,146,1,-1,0,unknown,no
10318,no,0.42%,0,Prospek Baru,39,management,single,secondary,no,120,no,no,unknown,12,jun,66,1,-1,0,unknown,no
10319,no,4.85%,0,Prospek Baru,59,management,married,tertiary,no,3165,yes,no,unknown,12,jun,278,2,-1,0,unknown,no
10320,yes,67.16%,0,Prospek Baru,49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no
10321,no,0.43%,0,Prospek Baru,51,services,married,secondary,no,209,no,no,unknown,12,jun,93,1,-1,0,unknown,no
10322,no,1.06%,0,Prospek Baru,54,management,married,tertiary,no,292,no,no,unknown,12,jun,120,1,-1,0,unknown,no
10323,no,0.59%,0,Prospek Baru,43,services,married,secondary,no,0,no,no,unknown,12,jun,105,1,-1,0,unknown,no
10324,no,10.53%,0,Prospek Baru,45,technician,divorced,secondary,no,29,no,no,unknown,12,jun,385,1,-1,0,unknown,no
10325,no,2.69%,0,Prospek Baru,36,housemaid,married,secondary,no,2880,no,no,unknown,12,jun,283,1,-1,0,unknown,no
10326,no,1.30%,0,Prospek Baru,48,technician,married,unknown,no,74,no,no,unknown,12,jun,181,1,-1,0,unknown,no
10327,no,0.60%,0,Prospek Baru,50,unemployed,married,secondary,no,5164,no,no,unknown,12,jun,117,5,-1,0,unknown,no
10328,no,0.62%,0,Prospek Baru,39,admin.,married,secondary,no,1221,no,no,unknown,12,jun,97,1,-1,0,unknown,no
10329,no,1.49%,0,Prospek Baru,36,services,single,primary,no,183,no,no,unknown,12,jun,167,5,-1,0,unknown,no
10330,no,49.91%,0,Prospek Baru,39,self-employed,married,tertiary,no,2630,no,no,unknown,12,jun,651,5,-1,0,unknown,yes
10331,no,1.46%,0,Prospek Baru,49,blue-collar,married,primary,no,518,yes,no,unknown,12,jun,223,1,-1,0,unknown,no
10332,no,2.33%,0,Prospek Baru,51,housemaid,married,primary,no,2499,no,no,unknown,12,jun,309,5,-1,0,unknown,no
10333,no,0.36%,0,Prospek Baru,57,blue-collar,married,unknown,no,108,no,no,unknown,12,jun,98,1,-1,0,unknown,no
10334,no,1.00%,0,Prospek Baru,43,services,married,secondary,no,2478,yes,no,unknown,12,jun,157,1,-1,0,unknown,no
10335,no,2.10%,0,Prospek Baru,53,self-employed,married,tertiary,no,4397,yes,no,unknown,12,jun,252,1,-1,0,unknown,no
10336,yes,64.67%,0,Prospek Baru,49,management,married,tertiary,no,-470,yes,no,unknown,12,jun,691,1,-1,0,unknown,no
10337,no,0.21%,0,Prospek Baru,45,housemaid,divorced,primary,no,221,no,no,unknown,12,jun,93,1,-1,0,unknown,no
10338,no,6.56%,0,Prospek Baru,42,blue-collar,married,secondary,no,273,no,no,unknown,12,jun,315,1,-1,0,unknown,no
10339,no,0.90%,0,Prospek Baru,37,housemaid,married,secondary,no,187,no,no,unknown,12,jun,165,1,-1,0,unknown,no
10340,no,4.42%,0,Prospek Baru,57,entrepreneur,married,unknown,no,657,no,no,unknown,12,jun,344,1,-1,0,unknown,no
10341,no,0.54%,0,Prospek Baru,58,retired,married,primary,no,657,yes,no,unknown,12,jun,128,2,-1,0,unknown,no
10342,no,2.50%,0,Prospek Baru,36,blue-collar,married,primary,no,398,yes,no,unknown,12,jun,278,1,-1,0,unknown,no
10343,no,14.17%,0,Prospek Baru,38,admin.,married,secondary,no,545,no,no,unknown,12,jun,436,1,-1,0,unknown,no
10344,no,1.71%,0,Prospek Baru,50,unknown,single,unknown,no,490,no,no,unknown,12,jun,189,1,-1,0,unknown,no
10345,no,1.12%,0,Prospek Baru,55,entrepreneur,married,secondary,no,113,yes,no,unknown,12,jun,186,1,-1,0,unknown,no
10346,no,0.19%,0,Prospek Baru,49,entrepreneur,married,secondary,yes,-178,no,yes,unknown,12,jun,84,1,-1,0,unknown,no
10347,no,2.97%,0,Prospek Baru,36,technician,married,secondary,no,1319,yes,no,unknown,12,jun,264,1,-1,0,unknown,no
10348,no,1.92%,0,Prospek Baru,50,blue-collar,married,primary,no,260,yes,no,unknown,12,jun,237,1,-1,0,unknown,no
10349,no,0.44%,0,Prospek Baru,40,admin.,married,secondary,no,2082,no,no,unknown,12,jun,82,1,-1,0,unknown,no
10350,no,0.44%,0,Prospek Baru,36,student,single,secondary,no,409,yes,no,unknown,12,jun,72,1,-1,0,unknown,no
10351,no,0.14%,0,Prospek Baru,54,blue-collar,married,primary,no,1087,yes,no,unknown,12,jun,77,1,-1,0,unknown,no
10352,no,0.33%,0,Prospek Baru,39,blue-collar,married,secondary,no,1367,no,no,unknown,12,jun,43,1,-1,0,unknown,no
10353,no,0.13%,0,Prospek Baru,40,housemaid,married,secondary,no,3944,yes,no,unknown,12,jun,64,6,-1,0,unknown,no
10354,no,5.70%,0,Prospek Baru,36,blue-collar,married,secondary,no,753,yes,no,unknown,12,jun,351,1,-1,0,unknown,no
10355,no,0.82%,0,Prospek Baru,47,housemaid,single,tertiary,no,456,no,no,unknown,12,jun,139,2,-1,0,unknown,no
10356,no,1.03%,0,Prospek Baru,60,retired,single,secondary,no,1625,no,no,unknown,12,jun,119,1,-1,0,unknown,no
10357,no,8.10%,0,Prospek Baru,39,blue-collar,married,primary,no,292,no,no,unknown,12,jun,394,1,-1,0,unknown,no
10358,no,1.35%,0,Prospek Baru,36,blue-collar,married,primary,no,4138,no,no,unknown,12,jun,174,1,-1,0,unknown,no
10359,no,12.30%,0,Prospek Baru,52,management,married,tertiary,no,261,yes,no,unknown,12,jun,437,2,-1,0,unknown,no
10360,no,4.33%,0,Prospek Baru,44,unemployed,married,secondary,no,1590,yes,no,unknown,12,jun,349,1,-1,0,unknown,no
10361,no,1.52%,0,Prospek Baru,59,retired,married,secondary,no,3353,no,no,unknown,12,jun,148,1,-1,0,unknown,no
10362,no,0.47%,0,Prospek Baru,42,unknown,single,secondary,no,1456,no,no,unknown,12,jun,56,1,-1,0,unknown,no
10363,no,0.78%,0,Prospek Baru,38,blue-collar,divorced,primary,no,0,no,no,unknown,12,jun,133,1,-1,0,unknown,no
10364,no,0.67%,0,Prospek Baru,54,technician,married,unknown,no,2564,no,no,unknown,12,jun,134,1,-1,0,unknown,no
10365,no,0.40%,0,Prospek Baru,38,services,single,primary,no,556,yes,no,unknown,12,jun,113,1,-1,0,unknown,no
10366,no,1.64%,0,Prospek Baru,48,blue-collar,single,secondary,no,580,yes,no,unknown,12,jun,185,2,-1,0,unknown,no
10367,no,0.39%,0,Prospek Baru,55,retired,married,secondary,no,2312,no,no,unknown,12,jun,60,1,-1,0,unknown,no
10368,no,0.58%,0,Prospek Baru,40,blue-collar,married,secondary,no,952,no,yes,unknown,12,jun,140,1,-1,0,unknown,no
10369,no,3.91%,0,Prospek Baru,55,technician,married,secondary,no,57,yes,no,unknown,12,jun,331,12,-1,0,unknown,no
10370,no,0.68%,0,Prospek Baru,47,services,married,secondary,no,137,no,no,unknown,12,jun,112,1,-1,0,unknown,no
10371,no,1.06%,0,Prospek Baru,59,entrepreneur,married,tertiary,no,631,yes,no,unknown,12,jun,167,1,-1,0,unknown,no
10372,no,0.24%,0,Prospek Baru,43,blue-collar,married,primary,no,0,no,no,unknown,12,jun,30,1,-1,0,unknown,no
10373,no,1.88%,0,Prospek Baru,55,entrepreneur,married,primary,no,214,no,no,unknown,12,jun,217,1,-1,0,unknown,no
10374,no,0.30%,0,Prospek Baru,58,management,married,primary,no,0,no,no,unknown,12,jun,77,6,-1,0,unknown,no
10375,no,1.43%,0,Prospek Baru,41,blue-collar,divorced,primary,no,1887,no,no,unknown,12,jun,168,2,-1,0,unknown,no
10376,no,0.83%,0,Prospek Baru,56,self-employed,married,secondary,no,1113,no,no,unknown,12,jun,138,1,-1,0,unknown,no
10377,no,0.14%,0,Prospek Baru,39,blue-collar,married,primary,no,1397,yes,no,unknown,12,jun,10,1,-1,0,unknown,no
10378,no,3.37%,0,Prospek Baru,47,housemaid,divorced,secondary,no,1453,no,no,unknown,12,jun,303,1,-1,0,unknown,no
10379,no,0.28%,0,Prospek Baru,37,technician,married,secondary,yes,693,no,no,unknown,12,jun,75,1,-1,0,unknown,no
10380,no,0.54%,0,Prospek Baru,44,management,married,tertiary,no,0,no,no,unknown,12,jun,72,1,-1,0,unknown,no
10381,yes,54.30%,0,Prospek Baru,47,housemaid,single,tertiary,no,3727,no,no,unknown,12,jun,993,6,-1,0,unknown,yes
10382,no,0.82%,0,Prospek Baru,38,services,married,secondary,no,702,yes,no,unknown,12,jun,143,1,-1,0,unknown,no
10383,no,1.43%,0,Prospek Baru,38,services,married,secondary,no,309,no,no,unknown,12,jun,160,2,-1,0,unknown,no
10384,no,0.58%,0,Prospek Baru,40,services,married,secondary,no,1291,no,yes,unknown,12,jun,138,1,-1,0,unknown,no
10385,no,0.14%,0,Prospek Baru,38,blue-collar,married,primary,no,506,yes,yes,unknown,12,jun,122,1,-1,0,unknown,no
10386,no,0.34%,0,Prospek Baru,40,technician,married,secondary,no,8379,no,no,unknown,12,jun,52,6,-1,0,unknown,no
10387,no,0.26%,0,Prospek Baru,55,blue-collar,married,primary,no,472,no,no,unknown,12,jun,80,2,-1,0,unknown,no
10388,no,40.31%,0,Prospek Baru,49,admin.,married,secondary,no,2732,no,no,unknown,12,jun,558,1,-1,0,unknown,no
10389,no,0.13%,0,Prospek Baru,49,blue-collar,married,primary,no,937,yes,no,unknown,12,jun,66,1,-1,0,unknown,no
10390,no,0.37%,0,Prospek Baru,54,blue-collar,married,secondary,no,734,no,yes,unknown,12,jun,124,1,-1,0,unknown,no
10391,no,0.36%,0,Prospek Baru,40,management,married,tertiary,no,1041,yes,no,unknown,12,jun,73,1,-1,0,unknown,no
10392,no,0.14%,0,Prospek Baru,47,blue-collar,married,primary,no,1610,yes,no,unknown,12,jun,68,1,-1,0,unknown,no
10393,no,6.00%,0,Prospek Baru,43,blue-collar,married,secondary,no,664,yes,no,unknown,12,jun,354,1,-1,0,unknown,no
10394,no,0.15%,0,Prospek Baru,45,management,married,primary,no,0,no,yes,unknown,12,jun,54,1,-1,0,unknown,no
10395,no,0.24%,0,Prospek Baru,52,unknown,married,unknown,no,1317,no,no,unknown,12,jun,58,1,-1,0,unknown,no
10396,no,0.49%,0,Prospek Baru,36,student,single,unknown,no,172,no,no,unknown,12,jun,81,1,-1,0,unknown,no
10397,no,1.19%,0,Prospek Baru,43,management,divorced,tertiary,no,1052,no,no,unknown,12,jun,118,3,-1,0,unknown,no
10398,no,9.09%,0,Prospek Baru,36,management,married,primary,no,5427,no,no,unknown,12,jun,398,1,-1,0,unknown,no
10399,no,0.39%,0,Prospek Baru,47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,no
10400,no,1.69%,0,Prospek Baru,43,housemaid,married,secondary,no,1476,no,no,unknown,12,jun,216,2,-1,0,unknown,no
10401,no,0.42%,0,Prospek Baru,35,blue-collar,married,primary,no,1116,yes,no,unknown,12,jun,124,1,-1,0,unknown,no
10402,no,29.34%,0,Prospek Baru,35,admin.,single,secondary,no,163,yes,no,unknown,12,jun,483,1,-1,0,unknown,no
10403,no,2.66%,0,Prospek Baru,41,services,married,secondary,no,-700,no,yes,unknown,12,jun,309,1,-1,0,unknown,no
10404,no,42.60%,0,Prospek Baru,40,management,married,secondary,no,406,yes,no,unknown,12,jun,577,2,-1,0,unknown,yes
10405,no,30.09%,0,Prospek Baru,50,technician,married,tertiary,no,1347,yes,yes,unknown,12,jun,582,1,-1,0,unknown,no
10406,no,0.50%,0,Prospek Baru,35,admin.,single,secondary,no,128,no,no,unknown,12,jun,46,1,-1,0,unknown,no
10407,no,1.95%,0,Prospek Baru,56,blue-collar,married,secondary,no,2190,no,yes,unknown,12,jun,270,1,-1,0,unknown,no
10408,no,3.92%,0,Prospek Baru,43,blue-collar,single,primary,no,999,yes,no,unknown,12,jun,317,1,-1,0,unknown,no
10409,no,4.56%,0,Prospek Baru,54,retired,married,primary,no,2243,no,no,unknown,12,jun,281,1,-1,0,unknown,no
10410,no,0.63%,0,Prospek Baru,49,management,married,secondary,no,4848,no,no,unknown,12,jun,113,1,-1,0,unknown,no
10411,no,5.00%,0,Prospek Baru,51,housemaid,married,primary,no,3073,no,no,unknown,12,jun,410,1,-1,0,unknown,no
10412,no,3.24%,0,Prospek Baru,53,unemployed,married,secondary,no,0,yes,no,unknown,12,jun,313,1,-1,0,unknown,no
10413,no,1.95%,0,Prospek Baru,56,retired,married,primary,no,133,no,yes,unknown,12,jun,322,2,-1,0,unknown,no
10414,no,0.22%,0,Prospek Baru,48,blue-collar,married,primary,no,916,no,no,unknown,12,jun,37,3,-1,0,unknown,no
10415,no,0.45%,0,Prospek Baru,35,admin.,married,secondary,no,0,no,no,unknown,12,jun,88,2,-1,0,unknown,no
10416,no,6.79%,0,Prospek Baru,44,management,single,tertiary,no,3355,yes,no,unknown,12,jun,312,2,-1,0,unknown,no
10417,yes,74.87%,0,Prospek Baru,35,blue-collar,married,tertiary,no,2999,no,no,unknown,12,jun,1141,6,-1,0,unknown,yes
10418,yes,78.97%,0,Prospek Baru,48,blue-collar,married,secondary,no,1000,yes,no,unknown,12,jun,1268,2,-1,0,unknown,yes
10419,yes,51.24%,0,Prospek Baru,37,services,married,secondary,no,1627,yes,no,unknown,12,jun,602,2,-1,0,unknown,no
10420,no,34.96%,0,Prospek Baru,60,housemaid,married,primary,no,517,no,no,unknown,12,jun,1178,3,-1,0,unknown,no
10421,no,0.98%,0,Prospek Baru,44,management,married,tertiary,no,677,yes,no,unknown,12,jun,130,2,-1,0,unknown,no
10422,no,49.70%,0,Prospek Baru,27,admin.,single,secondary,no,18188,yes,no,unknown,12,jun,541,17,-1,0,unknown,yes
10423,no,4.09%,0,Prospek Baru,38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340,2,-1,0,unknown,no
10424,no,0.60%,0,Prospek Baru,40,housemaid,married,secondary,no,84,yes,yes,unknown,12,jun,230,7,-1,0,unknown,no
10425,no,2.36%,0,Prospek Baru,38,management,divorced,tertiary,no,10638,no,no,unknown,12,jun,159,2,-1,0,unknown,no
10426,no,0.85%,0,Prospek Baru,51,technician,divorced,primary,no,548,no,no,unknown,12,jun,138,2,-1,0,unknown,no
10427,no,1.11%,0,Prospek Baru,52,entrepreneur,divorced,tertiary,no,199,yes,yes,unknown,12,jun,246,2,-1,0,unknown,no
10428,yes,62.21%,0,Prospek Baru,58,retired,married,primary,no,1761,no,no,unknown,12,jun,773,4,-1,0,unknown,no
10429,no,8.42%,0,Prospek Baru,55,management,married,tertiary,no,1433,no,no,unknown,12,jun,298,3,-1,0,unknown,no
10430,yes,64.31%,0,Prospek Baru,39,services,married,secondary,no,2813,no,no,unknown,12,jun,723,2,-1,0,unknown,no
10431,no,9.38%,0,Prospek Baru,37,technician,single,secondary,no,18,no,no,unknown,12,jun,361,2,-1,0,unknown,no
10432,no,0.09%,0,Prospek Baru,52,housemaid,married,primary,no,310,no,yes,unknown,12,jun,100,4,-1,0,unknown,no
10433,no,0.59%,0,Prospek Baru,49,blue-collar,married,primary,no,3049,no,no,unknown,12,jun,124,2,-1,0,unknown,no
10434,no,0.89%,0,Prospek Baru,42,unemployed,married,secondary,no,583,yes,no,unknown,12,jun,153,6,-1,0,unknown,no
10435,no,0.69%,0,Prospek Baru,46,management,single,tertiary,no,2223,no,no,unknown,12,jun,67,3,-1,0,unknown,no
10436,no,27.23%,0,Prospek Baru,43,management,single,tertiary,no,5658,no,no,unknown,12,jun,462,3,-1,0,unknown,no
10437,no,14.76%,0,Prospek Baru,36,entrepreneur,married,primary,no,6317,no,no,unknown,12,jun,478,2,-1,0,unknown,no
10438,no,3.24%,0,Prospek Baru,47,housemaid,married,tertiary,no,1985,no,no,unknown,12,jun,320,2,-1,0,unknown,no
10439,no,0.33%,0,Prospek Baru,41,blue-collar,married,secondary,no,1165,no,no,unknown,12,jun,69,3,-1,0,unknown,no
10440,no,1.70%,0,Prospek Baru,46,management,divorced,tertiary,no,675,no,yes,unknown,12,jun,190,2,-1,0,unknown,no
10441,no,36.86%,0,Prospek Baru,40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no
10442,no,0.39%,0,Prospek Baru,36,management,married,tertiary,no,-85,yes,no,unknown,12,jun,85,2,-1,0,unknown,no
10443,yes,68.20%,0,Prospek Baru,48,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,1243,7,-1,0,unknown,yes
10444,no,1.64%,0,Prospek Baru,35,management,single,tertiary,no,3140,no,no,unknown,12,jun,130,3,-1,0,unknown,no
10445,no,5.38%,0,Prospek Baru,38,entrepreneur,married,secondary,no,8,no,no,unknown,12,jun,339,3,-1,0,unknown,no
10446,no,3.83%,0,Prospek Baru,40,unemployed,divorced,secondary,no,991,yes,no,unknown,12,jun,316,2,-1,0,unknown,no
10447,no,0.21%,0,Prospek Baru,55,housemaid,divorced,primary,no,0,no,no,unknown,12,jun,90,8,-1,0,unknown,no
